Grid_ID,Latitude,Longitude,Area_Name,Neighbourhood,Suburb,Town,City,City_District,County,State_District,Postcode,Display_Name
8402_1431,12.859324469996409,77.45980014493621,Devagere,,,,,,Bangalore South,Bengaluru Urban,560060,"Devagere, Bangalore South, Bengaluru Urban, Karnataka, 560060, India"
8402_1432,12.868307581746317,77.45980014493621,Kambipura,,,,,,Bangalore South,Bengaluru Urban,560060,"Kambipura, Bangalore South, Bengaluru Urban, Karnataka, 560060, India"
8402_1433,12.877290693496228,77.45980014493621,Kambipura,,,,,,Bangalore South,Bengaluru Urban,560060,"Kambipura, Bangalore South, Bengaluru Urban, Karnataka, 560060, India"
8402_1434,12.886273805246136,77.45980014493621,Kambipura,,,,,,Bangalore South,Bengaluru Urban,560060,"Kambipura, Bangalore South, Bengaluru Urban, Karnataka, 560060, India"
8402_1435,12.895256916996049,77.45980014493621,Kambipura,,,,,,Bangalore South,Bengaluru Urban,560060,"Kambipura, Bangalore South, Bengaluru Urban, Karnataka, 560060, India"
8402_1436,12.904240028745958,77.45980014493621,Challaghatta,,Challaghatta,,,Challagatta,Bangalore South,Bengaluru Urban,560060,"Challaghatta, Challagatta, Kumbalagodu, Bangalore South, Bengaluru Urban, Karnataka, 560060, India"
8402_1437,12.913223140495868,77.45980014493621,5th Block,,,,,Kommagatta,Bangalore South,Bengaluru Urban,560060,"5th Block, Kommagatta, Bangalore South, Bengaluru Urban, Karnataka, 560060, India"
8402_1438,12.922206252245775,77.45980014493621,Nadaprabhu Kempegowda Layout,,Nadaprabhu Kempegowda Layout,,,Kommagatta,Bangalore South,Bengaluru Urban,560060,"4th Block, Nadaprabhu Kempegowda Layout, Kommagatta, Bangalore South, Bengaluru Urban, Karnataka, 560060, India"
8402_1439,12.931189363995689,77.45980014493621,Nadaprabhu Kempegowda Layout,,Nadaprabhu Kempegowda Layout,,,Kommagatta,Bangalore South,Bengaluru Urban,560060,"4th Block, Nadaprabhu Kempegowda Layout, Kommagatta, Bangalore South, Bengaluru Urban, Karnataka, 560060, India"
8402_1440,12.940172475745598,77.45980014493621,3rd Block,,,,,Ramasandra,Bangalore South,Bengaluru Urban,560060,"3rd Block, Ramasandra, Bangalore South, Bengaluru Urban, Karnataka, 560060, India"
8402_1441,12.94915558749551,77.45980014493621,3rd Block,,,,,Ramasandra,Bangalore South,Bengaluru Urban,560060,"3rd Block, Ramasandra, Bangalore South, Bengaluru Urban, Karnataka, 560060, India"
8402_1442,12.95813869924542,77.45980014493621,2nd Block,,,,,Kannahalli,Bangalore North,Bengaluru Urban,560112,"2nd Block, Kannahalli, Bangalore North, Bengaluru Urban, Karnataka, 560112, India"
8402_1443,12.967121810995328,77.45980014493621,2nd Block,,,,,Kannahalli,Bangalore North,Bengaluru Urban,560112,"2nd Block, Kannahalli, Bangalore North, Bengaluru Urban, Karnataka, 560112, India"
8402_1444,12.97610492274524,77.45980014493621,1st Block,,,,,Kodigehalli,Bangalore North,Bengaluru Urban,560112,"1st Block, Kodigehalli, Bangalore North, Bengaluru Urban, Karnataka, 560112, India"
8402_1445,12.98508803449515,77.45980014493621,1st Block,,,,,Kodigehalli,Bangalore North,Bengaluru Urban,560112,"1st Block, Kodigehalli, Bangalore North, Bengaluru Urban, Karnataka, 560112, India"
8402_1446,12.99407114624506,77.45980014493621,Nada prabhu Kempegowda Nagara,,Nada prabhu Kempegowda Nagara,,Bengaluru,Bengaluru West City Corporation,Bangalore North,Bengaluru Urban,560091,"Gollarahatti, Nada prabhu Kempegowda Nagara, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560091, India"
8402_1447,13.00305425799497,77.45980014493621,Machohalli,,,,,,Bangalore North,Bengaluru Urban,560091,"Vaddarahalli, Machohalli, Bangalore North, Bengaluru Urban, Karnataka, 560091, India"
8402_1448,13.01203736974488,77.45980014493621,Machohalli,,,,,,Bangalore North,Bengaluru Urban,560091,"Vaddarahalli, Machohalli, Bangalore North, Bengaluru Urban, Karnataka, 560091, India"
8402_1449,13.021020481494787,77.45980014493621,Machohalli,,,,,,Bangalore North,Bengaluru Urban,560091,"Vaddarahalli, Machohalli, Bangalore North, Bengaluru Urban, Karnataka, 560091, India"
